date;bing.com;calendar.google.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;facebook.com;familia-losruedaposadamv.on.drv.tw;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rappi.com.co;roblox.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;udeaeduco-my.sharepoint.com;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-08-31;14.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;16.0;0.0;16.0;75.0
2023-09-01;14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;22.0
2023-09-02;42.0;0.0;22.0;22.0;0.0;1.0;4.0;0.0;0.0;2.0;0.0;25.0;2.0;10.0;2.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;63.0;0.0;47.0;259.0
2023-09-03;77.0;0.0;24.0;44.0;2.0;4.0;5.0;0.0;0.0;0.0;0.0;35.0;2.0;17.0;3.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;74.0;18.0;18.0;337.0
2023-09-04;16.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;21.0
2023-09-05;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;6.0;11.0;61.0
2023-09-06;30.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;4.0;3.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;2.0;12.0;73.0
2023-09-07;10.0;0.0;18.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;2.0;0.0;11.0;0.0;10.0;70.0
2023-09-09;49.0;0.0;20.0;17.0;8.0;0.0;12.0;0.0;0.0;7.0;0.0;20.0;0.0;10.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;3.0;0.0;0.0;50.0;0.0;31.0;256.0
2023-09-10;36.0;0.0;10.0;21.0;28.0;0.0;26.0;0.0;0.0;11.0;0.0;60.0;0.0;4.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;13.0;0.0;0.0;87.0;0.0;44.0;359.0
2023-09-11;5.0;0.0;0.0;9.0;4.0;0.0;6.0;0.0;0.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;3.0;0.0;41.0
2023-09-12;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10.0
2023-09-13;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;21.0
2023-09-15;7.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;26.0
2023-09-16;38.0;0.0;9.0;0.0;0.0;0.0;42.0;0.0;0.0;0.0;0.0;0.0;2.0;20.0;10.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;15.0;2.0;14.0;158.0
2023-09-17;28.0;0.0;10.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;2.0;15.0;2.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;7.0;22.0;151.0
2023-09-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0
2023-09-19;39.0;0.0;9.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;22.0;123.0
2023-09-20;18.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;11.0;0.0;1.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;5.0;116.0
2023-09-21;37.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7.0;52.0
2023-09-22;21.0;0.0;2.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;36.0;2.0;1.0;3.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;120.0;0.0;29.0;242.0
2023-09-23;104.0;0.0;37.0;0.0;145.0;0.0;122.0;0.0;0.0;0.0;0.0;68.0;4.0;0.0;1.0;0.0;0.0;13.0;430.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;1.0;0.0;0.0;88.0;0.0;37.0;1065.0
2023-09-24;52.0;4.0;91.0;8.0;60.0;1.0;66.0;1.0;0.0;0.0;0.0;45.0;2.0;6.0;1.0;0.0;0.0;5.0;304.0;0.0;269.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;11.0;126.0;1.0;45.0;1102.0
