date;bing.com;chat.openai.com;classroom.google.com;colab.research.google.com;docs.google.com;drive.google.com;es.symbolab.com;freelancer.com.co;github.com;google.com;hbomax.com;instagram.com;kaggle.com;linkedin.com;mail.google.com;meet.google.com;netflix.com;overleaf.com;photos.google.com;portals.wetransfer.com;primevideo.com;rutan-medellin.udemy.com;stackoverflow.com;udea.edu.co;upwork.com;whatsapp.com;wolframalpha.com;youtube.com;total_usage
2023-09-16;3.57;3.92;0.0;0.0;0.0;33.77;0.0;0.0;0.0;0.12;172.23;30.63;0.0;1.13;0.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.22;0.0;5.53;0.88;150.22;404.53999999999996
2023-09-17;4.83;2.47;0.0;0.0;0.0;43.6;0.0;0.0;0.0;0.52;72.65;3.4;0.0;0.0;2.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.22;3.88;105.3;249.3
2023-09-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.57;0.0;0.0;0.0;0.0;20.04
2023-09-19;11.85;7.85;0.0;0.0;0.0;15.05;0.0;0.0;0.0;0.0;42.13;8.45;0.0;0.0;0.0;0.0;0.0;0.0;13.55;0.0;0.0;0.0;0.0;0.0;0.0;0.33;0.0;36.73;135.94
2023-09-20;1.53;0.0;0.0;0.0;0.0;0.08;0.0;0.0;0.0;0.1;57.62;12.62;0.0;1.8;1.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.55;0.0;1.18;103.35000000000001
2023-09-21;9.83;0.0;0.0;0.0;0.0;3.95;0.0;0.0;0.0;0.0;13.77;1.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48;0.0;44.95;74.55000000000001
2023-09-22;1.2;0.82;0.0;0.0;0.0;4.67;0.0;0.0;19.52;0.08;21.02;2.07;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.82;0.0;0.0;61.35;0.0;170.78;282.73
2023-09-23;11.2;18.3;0.0;94.08;0.0;42.47;0.0;0.0;42.98;0.77;0.0;0.3;0.0;0.0;1.53;543.52;0.0;0.57;0.0;0.0;0.0;0.0;2.33;0.07;0.0;19.6;0.0;112.82;890.5400000000002
2023-09-24;3.9;30.2;2.43;20.8;0.03;17.97;0.45;0.0;18.07;0.42;37.18;4.68;0.0;0.0;1.45;367.4;0.0;167.87;0.0;0.0;0.0;0.0;1.82;0.92;2.65;24.1;0.55;204.53;907.4199999999998
2023-09-25;3.43;8.12;0.0;0.0;0.0;17.93;5.68;0.0;0.0;0.0;0.0;3.02;0.0;0.0;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.88;0.0;119.5;162.03
2023-09-26;3.1;0.58;21.07;0.0;0.0;7.87;0.0;0.0;4.85;0.0;0.0;5.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.68;0.0;134.22;178.55
2023-09-27;3.13;5.5;2.6;0.27;0.0;5.6;3.48;0.0;0.25;0.0;0.0;28.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.83;0.0;0.0;19.87;0.0;79.42;153.88
2023-09-28;6.65;1.77;0.0;24.05;0.0;24.05;0.0;0.0;1.6;0.08;0.0;4.07;0.0;0.0;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42;0.0;9.33;0.0;144.33;216.78000000000003
2023-09-29;6.83;15.53;5.2;17.9;0.23;2.73;0.0;0.0;5.87;0.18;16.07;3.28;0.0;0.0;0.48;0.0;0.0;0.0;5.72;0.0;0.0;0.0;0.23;1.08;0.0;7.18;0.0;86.53;175.04
2023-10-01;3.55;6.85;0.0;0.0;0.0;2.2;0.0;0.0;1.65;0.1;7.75;10.18;0.0;0.0;8.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3;0.0;18.9;1.82;193.25;259.12
2023-10-02;4.43;9.62;0.0;0.0;0.0;0.0;7.02;0.0;0.0;0.12;24.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.97;0.0;19.77;69.13000000000001
2023-10-03;2.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.87;0.0;0.0;0.0;81.47;92.67
2023-10-04;1.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.33;1.28;0.0;2.22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.72;0.0;66.67;73.75
2023-10-05;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;10.95;0.0;87.08;106.94999999999999
2023-10-07;3.5;9.05;0.0;0.0;0.0;2.77;0.0;0.0;2.73;0.2;66.2;0.0;0.48;2.05;0.0;0.0;0.0;82.03;0.0;0.0;0.0;0.0;0.0;0.58;0.0;4.83;0.0;217.98;392.4
2023-10-08;8.57;23.8;0.0;0.0;0.0;25.37;0.0;0.0;0.88;0.28;72.63;6.3;0.0;12.2;0.0;0.0;0.0;91.78;0.0;0.0;0.0;0.0;0.0;2.87;0.0;21.23;0.0;260.22;526.1300000000001
2023-10-09;4.93;10.88;0.0;0.0;0.0;360.77;34.58;0.0;0.0;0.0;93.92;24.45;0.0;0.0;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.73;9.75;302.13;849.54
2023-10-10;0.0;0.0;0.0;0.0;0.0;5.42;0.0;0.0;0.0;0.0;29.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;75.17;110.41
2023-10-11;0.17;4.97;0.0;0.0;0.0;6.62;10.3;0.0;0.0;0.0;0.0;8.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.23;0.0;98.75;132.01
2023-10-12;8.32;8.53;0.0;0.0;0.0;13.18;8.17;0.0;0.0;4.68;43.15;8.62;0.0;0.0;0.32;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;3.3;0.0;3.08;0.0;186.83;288.98
2023-10-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15;0.0;21.62;2.6;0.0;0.0;0.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.12;7.07;59.0;93.99000000000001
2023-10-14;7.37;3.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.85;0.0;0.0;1.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.05;0.0;2.2;0.0;59.98;79.0
